2025-04-23 16:18:56.455 | ERROR    | __main__:extract_paragraph_from_pdf:123 - pdf2image failed on /Volumes/Save/@master/src/data/raw_pdf/Chicago_Tribune_1956_09_13_Page_97.pdf: Unable to get page count. Is poppler installed and in PATH?
2025-04-23 16:18:56.456 | WARNING  | __main__:scrape_and_ocr:372 - Empty OCR for Chicago_Tribune_1956_09_13_Page_97.pdf
2025-04-23 16:19:04.190 | INFO     | __main__:download_current_page_pdf:222 - Downloaded Harrisburg_Telegraph_1914_12_03_Page_11.pdf (sidebar flow)
2025-04-23 16:19:04.194 | ERROR    | __main__:extract_paragraph_from_pdf:123 - pdf2image failed on /Volumes/Save/@master/src/data/raw_pdf/Harrisburg_Telegraph_1914_12_03_Page_11.pdf: Unable to get page count. Is poppler installed and in PATH?
2025-04-23 16:19:04.194 | WARNING  | __main__:scrape_and_ocr:372 - Empty OCR for Harrisburg_Telegraph_1914_12_03_Page_11.pdf
2025-04-23 16:19:09.006 | INFO     | __main__:download_current_page_pdf:222 - Downloaded Harrisburg_Telegraph_1914_12_03_Page_11.pdf (sidebar flow)
2025-04-23 16:19:09.024 | ERROR    | __main__:extract_paragraph_from_pdf:123 - pdf2image failed on /Volumes/Save/@master/src/data/raw_pdf/Harrisburg_Telegraph_1914_12_03_Page_11.pdf: Unable to get page count. Is poppler installed and in PATH?
2025-04-23 16:19:09.025 | WARNING  | __main__:scrape_and_ocr:372 - Empty OCR for Harrisburg_Telegraph_1914_12_03_Page_11.pdf
2025-04-23 16:19:13.753 | INFO     | __main__:download_current_page_pdf:222 - Downloaded Harrisburg_Telegraph_1914_12_03_Page_11.pdf (sidebar flow)
2025-04-23 16:19:13.756 | ERROR    | __main__:extract_paragraph_from_pdf:123 - pdf2image failed on /Volumes/Save/@master/src/data/raw_pdf/Harrisburg_Telegraph_1914_12_03_Page_11.pdf: Unable to get page count. Is poppler installed and in PATH?
2025-04-23 16:19:13.756 | WARNING  | __main__:scrape_and_ocr:372 - Empty OCR for Harrisburg_Telegraph_1914_12_03_Page_11.pdf
2025-04-23 16:19:19.195 | INFO     | __main__:download_current_page_pdf:222 - Downloaded Harrisburg_Daily_Independent_1914_12_03_Page_11.pdf (sidebar flow)
2025-04-23 16:19:19.211 | ERROR    | __main__:extract_paragraph_from_pdf:123 - pdf2image failed on /Volumes/Save/@master/src/data/raw_pdf/Harrisburg_Daily_Independent_1914_12_03_Page_11.pdf: Unable to get page count. Is poppler installed and in PATH?
